/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,267 root         DEBUG    edge_8_11_01: Status.RUNNING
2025-08-05 21:14:32,267 root         DEBUG    edge_16_05_01: Status.WAITING
2025-08-05 21:14:32,267 root         DEBUG    edge_16_06_01: Status.WAITING
2025-08-05 21:14:32,268 root         DEBUG    edge_16_07_01: Status.WAITING
2025-08-05 21:14:32,268 root         DEBUG    edge_11_01_01: Status.RUNNING
2025-08-05 21:14:32,269 root         DEBUG    edge_16_08_01: Status.WAITING
2025-08-05 21:14:32,269 root         DEBUG    edge_8_03_01: Executing...
2025-08-05 21:14:32,269 root         DEBUG    edge_16_09_01: Status.WAITING
2025-08-05 21:14:32,269 root         DEBUG    edge_11_02_01: Status.RUNNING
2025-08-05 21:14:32,269 root         DEBUG    edge_16_10_01: Status.WAITING
2025-08-05 21:14:32,255 root         DEBUG    edge_4_06_01: Executing...
2025-08-05 21:14:32,270 root         DEBUG    edge_11_03_01: Executing...
2025-08-05 21:14:32,270 root         DEBUG    edge_16_11_01: Status.WAITING
2025-08-05 21:14:32,271 root         DEBUG    edge_17_01_01: Status.WAITING
2025-08-05 21:14:32,271 root         DEBUG    edge_11_04_01: Status.RUNNING
2025-08-05 21:14:32,272 root         DEBUG    edge_17_02_01: Status.WAITING
2025-08-05 21:14:32,272 root         DEBUG    edge_8_05_01: Executing...
2025-08-05 21:14:32,272 root         DEBUG    edge_17_03_01: Status.WAITING
