/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:09:52,046 root         DEBUG    Running workflow: airqualityworkflow
2025-08-05 21:09:52,047 root         DEBUG    edge_4_01_01: Status.WAITING
2025-08-05 21:09:52,047 root         DEBUG    edge_4_01_01: Status.RUNNING
2025-08-05 21:09:52,048 root         DEBUG    edge_4_02_01: Status.WAITING
2025-08-05 21:09:52,048 root         DEBUG    edge_4_01_01: Executing...
2025-08-05 21:09:52,048 root         DEBUG    edge_4_03_01: Status.WAITING
2025-08-05 21:09:52,048 root         DEBUG    edge_4_02_01: Status.RUNNING
2025-08-05 21:09:52,049 root         DEBUG    edge_4_04_01: Status.WAITING
2025-08-05 21:09:52,050 root         DEBUG    edge_4_03_01: Status.RUNNING
2025-08-05 21:09:52,050 root         DEBUG    edge_4_05_01: Status.WAITING
2025-08-05 21:09:52,050 root         DEBUG    edge_4_02_01: Executing...
2025-08-05 21:09:52,050 root         DEBUG    edge_4_06_01: Status.WAITING
2025-08-05 21:09:52,051 root         DEBUG    edge_4_04_01: Status.RUNNING
2025-08-05 21:09:52,051 root         DEBUG    edge_4_03_01: Executing...
2025-08-05 21:09:52,051 root         DEBUG    edge_4_07_01: Status.WAITING
2025-08-05 21:09:52,051 root         DEBUG    edge_4_05_01: Status.RUNNING
2025-08-05 21:09:52,052 root         DEBUG    edge_4_08_01: Status.WAITING
2025-08-05 21:09:52,052 root         DEBUG    edge_4_09_01: Status.WAITING
2025-08-05 21:09:52,053 root         DEBUG    edge_4_06_01: Status.RUNNING
2025-08-05 21:09:52,053 root         DEBUG    edge_4_10_01: Status.WAITING
2025-08-05 21:09:52,053 root         DEBUG    edge_4_04_01: Executing...
2025-08-05 21:09:52,053 root         DEBUG    edge_4_11_01: Status.WAITING
2025-08-05 21:09:52,054 root         DEBUG    edge_8_01_01: Status.WAITING
2025-08-05 21:09:52,059 root         DEBUG    edge_8_01_01: Status.RUNNING
2025-08-05 21:09:52,055 root         DEBUG    edge_8_02_01: Status.WAITING
2025-08-05 21:09:52,055 root         DEBUG    edge_4_05_01: Executing...
2025-08-05 21:09:52,055 root         DEBUG    edge_8_03_01: Status.WAITING
2025-08-05 21:09:52,055 root         DEBUG    edge_4_08_01: Status.RUNNING
2025-08-05 21:09:52,056 root         DEBUG    edge_8_04_01: Status.WAITING
2025-08-05 21:09:52,056 root         DEBUG    edge_4_09_01: Status.RUNNING
2025-08-05 21:09:52,056 root         DEBUG    edge_8_05_01: Status.WAITING
2025-08-05 21:09:52,056 root         DEBUG    edge_4_06_01: Executing...
2025-08-05 21:09:52,057 root         DEBUG    edge_8_06_01: Status.WAITING
2025-08-05 21:09:52,057 root         DEBUG    edge_4_10_01: Status.RUNNING
2025-08-05 21:09:52,057 root         DEBUG    edge_8_07_01: Status.WAITING
2025-08-05 21:09:52,058 root         DEBUG    edge_8_08_01: Status.WAITING
2025-08-05 21:09:52,058 root         DEBUG    edge_4_11_01: Status.RUNNING
2025-08-05 21:09:52,059 root         DEBUG    edge_8_09_01: Status.WAITING
2025-08-05 21:09:52,054 root         DEBUG    edge_4_07_01: Status.RUNNING
2025-08-05 21:09:52,059 root         DEBUG    edge_8_01_01: Executing...
2025-08-05 21:09:52,059 root         DEBUG    edge_8_10_01: Status.WAITING
2025-08-05 21:09:52,059 root         DEBUG    edge_8_02_01: Status.RUNNING
2025-08-05 21:09:52,060 root         DEBUG    edge_8_11_01: Status.WAITING
2025-08-05 21:09:52,060 root         DEBUG    edge_11_01_01: Status.WAITING
2025-08-05 21:09:52,061 root         DEBUG    edge_8_03_01: Status.RUNNING
2025-08-05 21:09:52,061 root         DEBUG    edge_11_02_01: Status.WAITING
2025-08-05 21:09:52,061 root         DEBUG    edge_4_08_01: Executing...
2025-08-05 21:09:52,062 root         DEBUG    edge_11_03_01: Status.WAITING
2025-08-05 21:09:52,062 root         DEBUG    edge_8_04_01: Status.RUNNING
2025-08-05 21:09:52,062 root         DEBUG    edge_11_04_01: Status.WAITING
2025-08-05 21:09:52,062 root         DEBUG    edge_4_09_01: Executing...
2025-08-05 21:09:52,063 root         DEBUG    edge_11_05_01: Status.WAITING
2025-08-05 21:09:52,063 root         DEBUG    edge_8_05_01: Status.RUNNING
2025-08-05 21:09:52,063 root         DEBUG    edge_11_06_01: Status.WAITING
2025-08-05 21:09:52,064 root         DEBUG    edge_11_07_01: Status.WAITING
2025-08-05 21:09:52,064 root         DEBUG    edge_8_06_01: Status.RUNNING
2025-08-05 21:09:52,064 root         DEBUG    edge_11_08_01: Status.WAITING
2025-08-05 21:09:52,064 root         DEBUG    edge_4_10_01: Executing...
2025-08-05 21:09:52,065 root         DEBUG    edge_11_09_01: Status.WAITING
2025-08-05 21:09:52,078 root         DEBUG    edge_11_09_01: Status.RUNNING
2025-08-05 21:09:52,065 root         DEBUG    edge_11_10_01: Status.WAITING
